MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,125.1050000,-283.2322998,289.8795776,-0.2084902
MsgID.LOCAL_VELOCITY,125.1050000,0.0000081,0.0000563,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899317,0.1920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,125.3550000,-283.1857910,289.9958191,-0.1925773
MsgID.LOCAL_VELOCITY,125.3550000,-0.0000035,0.0000494,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899328,0.1590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,125.6050000,-283.0674133,290.0026855,-0.1593647
MsgID.LOCAL_VELOCITY,125.6050000,0.0000047,0.0000602,0.0000186
MsgID.GLOBAL_POSITION,0.0000000,-122.3941910,37.7899322,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,125.8550000,-283.1315002,289.9807739,-0.1155795
MsgID.LOCAL_VELOCITY,125.8550000,-0.0000036,0.0000463,0.0000196
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899313,0.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,126.1050000,-283.2355957,290.0071411,-0.0697033
MsgID.LOCAL_VELOCITY,126.1050000,0.0000072,0.0000553,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3941888,37.7899326,0.0240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,126.3550000,-283.0941162,290.1732788,-0.0247075
MsgID.LOCAL_VELOCITY,126.3550000,0.0000021,0.0000600,0.0000178
MsgID.GLOBAL_POSITION,0.0000000,-122.3941900,37.7899332,-0.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,126.6050000,-283.0238037,290.0639038,0.0152270
MsgID.LOCAL_VELOCITY,126.6050000,0.0000015,0.0000465,0.0000126
MsgID.GLOBAL_POSITION,0.0000000,-122.3941915,37.7899329,-0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,126.8550000,-283.0552979,289.9337463,0.0421945
MsgID.LOCAL_VELOCITY,126.8550000,-0.0000096,0.0000275,0.0000139
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941924,37.7899329,-0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.1040000,-283.0545959,289.8502502,0.0583762
MsgID.LOCAL_VELOCITY,127.1040000,-0.0000055,0.0000240,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3941912,37.7899338,-0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.3550000,-282.9555054,289.9646912,0.0681358
MsgID.LOCAL_VELOCITY,127.3550000,0.0000084,0.0000404,0.0000120
MsgID.LOCAL_POSITION,127.6060000,-282.9342346,290.0330811,0.0733718
MsgID.LOCAL_VELOCITY,127.6060000,-0.0000116,0.0000166,0.0000306
MsgID.GLOBAL_POSITION,0.0000000,-122.3941904,37.7899340,-0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899331,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.8560000,-283.0402832,290.0026855,0.0761730
MsgID.LOCAL_VELOCITY,127.8560000,-0.0000072,0.0000133,0.0000083
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899333,-0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.1060000,-283.0158997,289.9971008,0.0776334
MsgID.LOCAL_VELOCITY,128.1060000,0.0000005,0.0000231,0.0000096
MsgID.GLOBAL_POSITION,0.0000000,-122.3941923,37.7899325,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.3560000,-283.1005859,289.8665161,0.0784682
MsgID.LOCAL_VELOCITY,128.3560000,0.0000079,0.0000342,-0.0000067
MsgID.GLOBAL_POSITION,0.0000000,-122.3941916,37.7899341,-0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
